"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5480444096","456701","12113","21 Jun 2020 10:33","29:35","1775","13-33","13,33","Dire","PSG.LGD","xNova, Chalice, fy, Somnus, old eLeVeN","CDEC","Victoria, Xm, Srf, James, 长亭外 古道边 芳草天"
"5480379204","456683","12069","21 Jun 2020 09:37","36:08","2168","32-14","32,14","Radiant","Neon Esports","Skem, rApy-, Jaunuel, Japoy.LFT, Mskiinfnty.PH2n","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5480366503","456697","12139","21 Jun 2020 09:41","31:32","1892","6-45","6,45","Dire","The New Top","牧马, 咩爷, Luobo, OilBottle, hmx","Blaze","KAZZ, AC娘, Xhd.y, po3, 无双斗魂"
"5480323183","456685","12113","21 Jun 2020 08:52","32:45","1965","19-10","19,10","Radiant","Sparking Arrow Gaming","骑牛的, Felixciaoba, 圣子华炼, Op, Angel","Team Aster","ChYuan, Xxs, Sccc, Fade, BoBoKa"
"5480282409","456674","12139","21 Jun 2020 08:13","33:10","1990","35-12","35,12","Radiant","Ocean","Tyz, kress, Xmy, ZC, 吃饭用大碗","EHOME.Immortal","Yds., plAnet,  cjsdie, Blood,  x1yang"
"5480268784","456685","12113","21 Jun 2020 08:01","27:47","1667","20-16","20,16","Radiant","Sparking Arrow Gaming","骑牛的, Felixciaoba, 圣子华炼, Op, Angel","Team Aster","ChYuan, Xxs, Sccc, Fade, BoBoKa"
"5480264154","456683","12069","21 Jun 2020 08:13","47:42","2862","39-46","39,46","Dire","Neon Esports","Skem, rApy-, Jaunuel, Japoy.LFT, Mskiinfnty.PH2n","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5480202805","456674","12139","21 Jun 2020 07:07","43:56","2636","42-21","42,21","Radiant","Ocean","Tyz, kress, Xmy, ZC, 吃饭用大碗","EHOME.Immortal","Yds., plAnet,  cjsdie, Blood,  x1yang"
"5480098589","456644","11863","21 Jun 2020 04:50","36:42","2202","29-35","29,35","Dire","Plasma1337x VitaPLUR gum","G, Giant, mio, pingu, bgod","PlusOne","Unknown, xuan, wij, @ChedDoto, deus"
"5480048047","456644","11863","21 Jun 2020 03:48","34:09","2049","33-22","33,22","Radiant","Plasma1337x VitaPLUR gum","G, Giant, mio, pingu, bgod","PlusOne","Unknown, xuan, wij, @ChedDoto, deus"
"5480008365","456620","11863","21 Jun 2020 02:45","29:10","1750","19-54","19,54","Dire","Midas Club","Hyko, Duster, -murd0c, RdO, BL7K.Sexyfat","PlusOne","Unknown, xuan, wij, @ChedDoto, deus"
"5479954484","456620","11863","21 Jun 2020 01:18","41:29","2489","14-45","14,45","Dire","Midas Club","Hyko, Duster, -murd0c, RdO, BL7K.Sexyfat","PlusOne","Unknown, xuan, wij, @ChedDoto, deus"
"5479909197","456606","11863","21 Jun 2020 12:08","28:13","1693","27-9","27,9","Radiant","4 Zoomers","monkeys-forever, Legend, Husky, Noblewingz, Gunnar","Quincy Crew","SVG, MSS, Lelis, YawaR, CCnC"
"5479854203","456587","11863","20 Jun 2020 11:02","39:14","2354","20-58","20,58","Dire","4 Zoomers","monkeys-forever, Legend, Husky, Noblewingz, Gunnar","Quincy Crew","SVG, MSS, Lelis, YawaR, CCnC"
"5479653910","456523","12113","20 Jun 2020 07:54","29:06","1746","16-42","16,42","Dire","B8","Dendi, LastHero, FishmanLFT5, Crystallis, 5up","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5479569103","456523","12113","20 Jun 2020 06:39","41:57","2517","36-44","36,44","Dire","B8","Dendi, LastHero, FishmanLFT5, Crystallis, 5up","OG","n0tail, topson, Saksa, SumaiL, MidOne"
"5479470574","456490","12113","20 Jun 2020 05:29","27:08","1628","43-15","43,15","Radiant","ViKin.gg","Seleri, 27monkey, Tobi, Shad, BooM","B8","Dendi, LastHero, FishmanLFT5, Crystallis, 5up"
"5479423313","456478","12069","20 Jun 2020 04:54","35:26","2126","21-34","21,34","Dire","TNC Predator","March, kpii, Gabbi, TIMS, Armel","Adroit","ninjaboogie, Mac, Bokerino, Boombacs, Natsumi-"
"5479371441","456490","12113","20 Jun 2020 04:22","32:23","1943","12-24","12,24","Dire","B8","Dendi, LastHero, FishmanLFT5, Crystallis, 5up","ViKin.gg","Seleri, 27monkey, Tobi, Shad, BooM"
"5479307782","456478","12069","20 Jun 2020 03:39","34:22","2062","33-17","33,17","Radiant","TNC Predator","March, kpii, Gabbi, TIMS, Armel","Adroit","ninjaboogie, Mac, Bokerino, Boombacs, Natsumi-"
"5479284451","456454","12113","20 Jun 2020 03:23","22:31","1351","23-9","23,9","Radiant","Team Liquid","iNSaNiA, Boxi, qojqva, miCKe, Taiga","FlyToMoon","GeneRaL, ALWAYSWANNAFLY, ALOHADANCE, V-Tune, Iceberg"
